species,family,order,fishbase_name,fishbase_column_pos,depth_min,depth_max,migration,length_cm,length_type,diet_fishbase,buek_diet,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,add_rems,comments,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental_care,fecundity,life_span,social,sources,fish,decapod,pelagic_crustacean,pteropoda,worm,tunicate,cephalopod,gastropod,ctenophora,echinoderm,bivalvia,cnidaria,eggs,bird,in_phylo
Careproctus cypselurus,Liparidae,Scorpaeniformes,Careproctus cypselurus,bathydemersal,35,1775,NA,32.29999924,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Careproctus ectenes,Liparidae,Scorpaeniformes,Careproctus ectenes,bathydemersal,494,641,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus faunus,Liparidae,Scorpaeniformes,Careproctus faunus,demersal,120,422,NA,10.18999958,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus furcellus,Liparidae,Scorpaeniformes,Careproctus furcellus,NA,98,1270,NA,54,TL,NA,benthivorous,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,NA,benthic,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Careproctus gilberti,Liparidae,Scorpaeniformes,Careproctus gilberti,bathydemersal,73,886,NA,8.899999619,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Rare deepwater species (Ref. 6885).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Careproctus lycopersicus,Liparidae,Scorpaeniformes,Careproctus lycopersicus,benthopelagic,397,1157,NA,13.30000019,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,"One 11.6 cm TL ripe male and female specimens were examined:  the smallest female with yolked eggs was 14.9 cm (UW 119817).  For the ripe females, at least two sizes of eggs were present, yolked eggs were 3.5 mm in diameter and smaller white eggs had diameters of 0.5-1.5 mm (Ref. 91047).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus melanurus,Liparidae,Scorpaeniformes,Careproctus melanurus,NA,89,2286,NA,54,TL,hunting macrofauna (predator),benthivorous,invertivore,fishbase,benthic,terminal,rounded,mud bottoms,benthic,NA,"Found on mud bottoms (Ref. 2850).  Possibly the most commonly captured liparid below 200 m; captured frequently by fishers (Ref. 26773).  Known to feed on polychaete worms, small crustaceans, tiny clams and other invertebrates (Ref. 4525).",5.1,7,NA,NA,NA,Love 2011,non-guarder,534,8,NA,Love 2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Careproctus microstomus,Liparidae,Scorpaeniformes,Careproctus microstomus,bathydemersal,2721,3585,NA,15.30000019,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus oregonensis,Liparidae,Scorpaeniformes,Careproctus oregonensis,bathydemersal,1900,2818,NA,15.30000019,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus ostentum,Liparidae,Scorpaeniformes,Careproctus ostentum,bathydemersal,73,1660,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus ovigerus,Liparidae,Scorpaeniformes,Careproctus ovigerus,bathydemersal,1920,2910,NA,43.09999847,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,"The holotype, a male, was found to carry developing eggs in its mouth (Ref. 6885).  Two females were ripe with large yolked eggs 6-7 mm in diameter, while the male of 33.0 cm SL had enlarged testes. Two smallest and immature females examined (18.0-18.5 cm SL) had small ovaries with many small white eggs ca. 1 mm in diameter (Ref. 91047).",NA,NA,NA,NA,NA,NA,brooding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus phasma,Liparidae,Scorpaeniformes,Careproctus phasma,demersal,37,508,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Maximum depth reported at 508 m (Ref. 50610).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Careproctus rastrinus,Liparidae,Scorpaeniformes,Careproctus rastrinus,NA,55,913,NA,51,TL,NA,generalist,invertivore,NOAA,variable,terminal,rounded,soft bottoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,3.125,0,67.1875,0,12.5,0,0,6.25,10.9375,0,0,0,0,0,TRUE
Careproctus scottae,Liparidae,Scorpaeniformes,Careproctus scottae,demersal,8,183,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus simus,Liparidae,Scorpaeniformes,Careproctus simus,bathydemersal,380,800,non-migratory,18.60000038,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus zachirus,Liparidae,Scorpaeniformes,Careproctus zachirus,bathydemersal,150,850,NA,32,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Crystallichthys cyclospilus,Liparidae,Scorpaeniformes,Crystallichthys cyclospilus,NA,54,265,NA,28,TL,NA,NA,invertivore,Beukhof et al. 2019,benthic,inferior,truncate,sandy mud bottoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Elassodiscus caudatus,Liparidae,Scorpaeniformes,Elassodiscus caudatus,bathydemersal,335,1040,NA,8.5,SL,NA,NA,NA,NA,NA,inferior,truncate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,66.66666667,0,33.33333333,0,0,0,0,0,0,0,0,0,TRUE
Elassodiscus obscurus,Liparidae,Scorpaeniformes,Elassodiscus obscurus,bathydemersal,161,1773,NA,28.60000038,SL,NA,NA,NA,NA,NA,inferior,truncate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Elassodiscus tremebundus,Liparidae,Scorpaeniformes,Elassodiscus tremebundus,bathydemersal,130,1800,NA,34.29999924,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Gyrinichthys minytremus,Liparidae,Scorpaeniformes,Gyrinichthys minytremus,bathydemersal,NA,640,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,A recent reference acknowledging the validity of this species is needed.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liparis bathyarcticus,Liparidae,Scorpaeniformes,Liparis bathyarcticus,bathydemersal,400,647,NA,14,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liparis bristolensis,Liparidae,Scorpaeniformes,Liparis bristolensis,demersal,31,77,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liparis callyodon,Liparidae,Scorpaeniformes,Liparis callyodon,demersal,0,20,NA,12.69999981,TL,hunting macrofauna (predator),NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Occurs in tide pools and other intertidal areas (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Liparis cyclopus,Liparidae,Scorpaeniformes,Liparis cyclopus,demersal,0,183,NA,11.39999962,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,"Occurs from near shore (also in tide pools)  to 183 m depth (Ref. 2850, 51661).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liparis dennyi,Liparidae,Scorpaeniformes,Liparis dennyi,demersal,73,225,NA,30.5,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Inhabits subtidal to 225 meters (Ref. 51661).  Feeds on crustaceans (Ref. 4925).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Liparis fucensis,Liparidae,Scorpaeniformes,Liparis fucensis,bathydemersal,225,388,NA,18,TL,NA,NA,invertivore,fishbase,benthic,terminal,rounded,NA,benthic,NA,Occurs near shore and to 388 m depth (Ref.2850).  Feeds on shrimps and other crustaceans (Ref. 6885).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Liparis gibbus,Liparidae,Scorpaeniformes,Liparis gibbus,NA,0,647,NA,52,TL,hunting macrofauna (predator),generalist,generalist,NOAA,variable,terminal,rounded,rocky bottoms,benthic,"Occurs among seaweeds or rocks (Ref. 7251).  Often found in empty scallop shells (Ref. 7251).  Benthic; feeds on crustaceans (Ref. 58426).  Actively feeds above the substrate, in the vicinity of plants (Ref. 46872).  It is preyed upon by Atlantic cod.  Parasite of the species is known to be a trypanosome, <i>Trypanosoma murmanensis</i> (Ref. 5951).","Occurs among seaweeds or rocks (Ref. 7251).  Often found in empty scallop shells (Ref. 7251).  Benthic species.  Feeds on crustaceans (Ref. 58426), such as amphipods and crabs (Ref. 5951).",-1.85,10.5,NA,NA,NA,"Coad et al. 2018, USGS",NA,12000,13,NA,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,10.06493506,35.38961039,47.72727273,0,4.87012987,0,0,0.324675325,0,0,1.623376623,0,0,0,TRUE
Liparis marmoratus,Liparidae,Scorpaeniformes,Liparis marmoratus,NA,96,165,NA,8,TL,NA,NA,generalist,Beukhof et al. 2019,NA,terminal,rounded,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liparis megacephalus,Liparidae,Scorpaeniformes,Liparis megacephalus,demersal,58,69,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liparis ochotensis,Liparidae,Scorpaeniformes,Liparis ochotensis,demersal,0,761,NA,66,FL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liparis pulchellus,Liparidae,Scorpaeniformes,Liparis pulchellus,demersal,9,183,NA,25,TL,NA,NA,invertivore,fishbase,benthic,terminal,rounded,soft bottoms,NA,NA,Found on soft bottoms (Ref. 2850).  Feed on crustaceans and polychaete worms (Ref. 6885).  Taken by shrimp trawlers operating down to 92 m (Ref. 6885).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Liparis rutteri,Liparidae,Scorpaeniformes,Liparis rutteri,demersal,0,73,NA,7,SL,selective plankton feeding,NA,planktivore,fishbase,pelagic,terminal,rounded,NA,NA,NA,Occurs from intertidal areas to 73 m depth (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Lipariscus nanus,Liparidae,Scorpaeniformes,Lipariscus nanus,benthopelagic,0,910,NA,6.300000191,SL,NA,NA,NA,NA,NA,inferior,truncate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Lopholiparis flerxi,Liparidae,Scorpaeniformes,Lopholiparis flerxi,pelagic-oceanic,NA,285,NA,3.25,SL,NA,NA,NA,NA,NA,terminal,rounded,rocky bottoms,NA,"Apparently occurs over coarse bottom with hard patches, over-grown with sponges; with bottom temperature of 4.2ª??…–C (Ref. 57785).","Apparently occurs over coarse bottom with hard patches, over-grown with sponges; with bottom temperature of 4.2ª??…–C (Ref. 57785).",4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Nectoliparis pelagicus,Liparidae,Scorpaeniformes,Nectoliparis pelagicus,bathypelagic,0,3383,NA,6.5,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Has been taken from stagnant bottoms (Ref. 6885). Minimum depth from Ref. 006885.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Paraliparis adustus,Liparidae,Scorpaeniformes,Paraliparis adustus,bathypelagic,NA,NA,NA,15,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,"Collected at 640 m in water 3,658 m deep using a Marinovich midwater trawl.  The male holotype was with mature testes, and possess a prominent genital papilla, length nearly one-half eye diameter and directed anteriorly (Ref. 82595).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Paraliparis albeolus,Liparidae,Scorpaeniformes,Paraliparis albeolus,bathydemersal,33,1200,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Paraliparis bullacephalus,Liparidae,Scorpaeniformes,Paraliparis bullacephalus,bathypelagic,233,322,NA,6.199999809,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,"The male (5.30 and 6.20 cm) specimens appear to be mature, while the female (9.40 cm) was mature with ovaries containing numerous mature and immature, spherical, pale-colored, opaque, yolked oocytes, ranging in diameter from 0.20-2.12 mm; from gross observation, there appear to be fewer than 100 eggs in each ovary.  Specimens were collected with a 60 cm bongo net, epibenthic sled and bottom trawl (Ref. 82595).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Paraliparis cephalus,Liparidae,Scorpaeniformes,Paraliparis cephalus,bathydemersal,294,1800,NA,8.199999809,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Minimum depth reported at 294 m (Ref. 50610).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Paraliparis dactylosus,Liparidae,Scorpaeniformes,Paraliparis dactylosus,bathydemersal,541,1000,NA,8.899999619,SL,NA,NA,NA,NA,NA,terminal,pointed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Paraliparis deani,Liparidae,Scorpaeniformes,Paraliparis deani,bathydemersal,18,1008,NA,10,TL,NA,NA,NA,NA,NA,terminal,pointed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Paraliparis grandis,Liparidae,Scorpaeniformes,Paraliparis grandis,bathydemersal,105,1995,NA,38,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Paraliparis holomelas,Liparidae,Scorpaeniformes,Paraliparis holomelas,bathydemersal,128,3356,NA,9.5,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Minimum depth reported at 128 m (Ref. 50550).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Paraliparis melanobranchus,Liparidae,Scorpaeniformes,Paraliparis melanobranchus,bathydemersal,805,1554,NA,NA,NA,NA,NA,NA,NA,NA,terminal,truncate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Paraliparis mento,Liparidae,Scorpaeniformes,Paraliparis mento,bathydemersal,800,1253,NA,12,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Paraliparis paucidens,Liparidae,Scorpaeniformes,Paraliparis paucidens,bathydemersal,1536,2275,NA,16.39999962,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Paraliparis pectoralis,Liparidae,Scorpaeniformes,Paraliparis pectoralis,bathydemersal,681,1636,NA,21.79999924,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Minimum depth reported at 681 m (Ref. 26773).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Paraliparis penicillus,Liparidae,Scorpaeniformes,Paraliparis penicillus,pelagic-oceanic,722,1003,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Paraliparis rosaceus,Liparidae,Scorpaeniformes,Paraliparis rosaceus,bathydemersal,1050,3358,NA,40,SL,NA,NA,NA,NA,NA,terminal,pointed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Paraliparis ulochir,Liparidae,Scorpaeniformes,Paraliparis ulochir,bathydemersal,700,1900,NA,10.19999981,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Inhabits the continental slope (Ref. 26773).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Prognatholiparis ptychomandibularis,Liparidae,Scorpaeniformes,Prognatholiparis ptychomandibularis,bathydemersal,NA,455,NA,8.800000191,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Species typical of moderately deep waters.  Holotype had ostracods and rocks found in its stomach (Ref.  57784).  Minimum depth from Ref. 58018.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Rhinoliparis attenuatus,Liparidae,Scorpaeniformes,Rhinoliparis attenuatus,bathydemersal,350,2189,NA,11,SL,NA,NA,NA,NA,NA,inferior,pointed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Rhinoliparis barbulifer,Liparidae,Scorpaeniformes,Rhinoliparis barbulifer,bathydemersal,28,2189,NA,8.800000191,SL,NA,NA,NA,NA,NA,inferior,truncate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Albatrossia pectoralis,Macrouridae,Gadiformes,Albatrossia pectoralis,NA,140,2189,non-migratory,210,TL,variable,generalist,carnivore,NOAA,NA,inferior,rounded,NA,demersal,"Feeds on fish, squids, crustaceans, echinoderms, and other invertebrates (Ref. 1371).","Young apparently bathypelagic to some degree but become bathydemersal at a size of 50-60 cm (Ref. 1371).  Adults feed mainly on cephalopods, fish and shrimps; other food items include ctenophores, echinoderms, worms, crabs, and amphipods (Ref. 1371).  Oviparous, with planktonic larvae (Ref. 36385).",0,8.7,NA,NA,NA,Love 2011,non-guarder,29976,56,NA,"Blake et al. supp mat, Beukhof et al. 2019",20.17467249,10.13100437,25.85152838,0,1.310043668,0.262008734,39.56331878,0,1.659388646,0.087336245,0,0.96069869,0,0,TRUE
Coryphaenoides acrolepis,Macrouridae,Gadiformes,Coryphaenoides acrolepis,NA,600,2500,non-migratory,104,TL,hunting macrofauna (predator),generalist,carnivore,NOAA,variable,inferior,pointed,sandy mud bottoms,demersal,"Feeds on fish, cephalopods and crustaceans (Ref. 1371).","A benthopelagic mid-slope species, that appears to wander off slope bottoms into midwater (Ref. 1371).  Adults feed on small fish, euphausiids, prawns, amphipods and cephalopods (Ref. 1371).  Oviparous, with planktonic larvae (Ref. 36385).",1,18,NA,NA,NA,Love 2011,non-guarder,367000,73,NA,Beukhof et al. 2019,5.572755418,35.29411765,26.93498452,0,16.40866873,0,13.00309598,0,1.857585139,0,0.309597523,0.619195046,0,0,TRUE
Coryphaenoides cinereus,Macrouridae,Gadiformes,Coryphaenoides cinereus,NA,150,3500,non-migratory,66,TL,NA,benthivorous,invertivore,NOAA,pelagic,inferior,pointed,NA,demersal,Feeds mainly on pelagic forms (Ref. 1371).,Feeds mainly on pelagic forms (Ref. 1371).  Too small for fresh consumption (Ref. 1371).,NA,NA,NA,NA,NA,NA,non-guarder,NA,10,NA,Beukhof et al. 2019,0,17.20430108,64.51612903,0,10.75268817,0,5.376344086,0,2.150537634,0,0,0,0,0,TRUE
Coryphaenoides filifer,Macrouridae,Gadiformes,Coryphaenoides filifer,NA,1285,2904,NA,55,TL,hunting macrofauna (predator),piscivorous,piscivore,Beukhof et al. 2019,pelagic,inferior,pointed,NA,demersal,NA,"Bathybenthic (Ref. 36385).  Oviparous, with planktonic larvae (Ref. 36385).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Coryphaenoides longifilis,Macrouridae,Gadiformes,Coryphaenoides longifilis,NA,700,2025,non-migratory,110,TL,hunting macrofauna (predator),NA,NA,NA,NA,inferior,pointed,NA,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Malacocephalus laevis,Macrouridae,Gadiformes,Malacocephalus laevis,bathydemersal,200,1000,non-migratory,60,TL,hunting macrofauna (predator),NA,invertivore,fishbase,pelagic,inferior,pointed,NA,demersal,"Found on continental slopes (Ref. 1371, 75154).  Feeds on pelagic crustaceans (Ref. 58748).","Found on continental slopes (Ref. 1371).  Utilized mainly for fishmeal and oil (Ref. 1371).  In the past, fishers in the North Atlantic were reported to have used the luminescent excretion from the ventral light organ to enhance baits used for cod fishing (Ref. 1371).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
